budget,production,country_kaggle,director,genre_kaggle,gross,name,rating,released,runtime,score_imdb,star_kaggle,votes_imdb,writer_kaggle,year,genres_omdb,writers_omdb,actors_omdb,plot,language_omdb,country_omdb,awards,poster,score_metacritic,type
0.0,Dino de Laurentiis Communications,USA,Bruce A. Evans,Action,21142815.0,Kuffs,PG-13,1992-01-10,102,5.8,Christian Slater,8420,Bruce A. Evans,1992,,,,,,,,,,
4000000.0,Enchantment Films Inc.,USA,Stephen Milburn Anderson,Crime,1373196.0,South Central,R,1992-09-18,99,6.8,Byron Minns,3841,Stephen Milburn Anderson,1992,,,,,,,,,,
32000000.0,Warner Bros.,USA,Phil Joanou,Drama,28590665.0,Final Analysis,R,1992-02-07,124,5.8,Richard Gere,11503,Robert Berger,1992,,,,,,,,,,
15500000.0,Alcor Films,France,Arne Glimcher,Drama,6742168.0,The Mambo Kings,R,1992-02-28,104,6.4,Armand Assante,4469,Oscar Hijuelos,1992,,,,,,,,,,
0.0,Paradis Films,France,R�gis Wargnier,Drama,5734232.0,Indochine,PG-13,1992-12-23,148,7.1,Catherine Deneuve,7851,Erik Orsenna,1992,,,,,,,,,,
30000000.0,Morgan Creek Productions,USA,Geoff Murphy,Action,17129000.0,Freejack,R,1992-01-17,110,5.3,Emilio Estevez,12883,Robert Sheckley,1992,,,,,,,,,,
0.0,Twentieth Century Fox Film Corporation,USA,David Seltzer,Drama,21733781.0,Shining Through,R,1992-01-31,132,6.4,Michael Douglas,7877,Susan Isaacs,1992,,,,,,,,,,
0.0,Image Organization,USA,Bill Duke,Action,16639799.0,Deep Cover,R,1992-04-15,107,6.9,Laurence Fishburne,7163,Michael Tolkin,1992,,,,,,,,,,
0.0,Alcor Films,France,Craig Bolotin,Drama,20194.0,That Night,PG-13,1993-08-06,89,6.7,C. Thomas Howell,1798,Alice McDermott,1992,,,,,,,,,,
0.0,Animat�grafo,Spain,Fernando Trueba,Comedy,5971369.0,Belle Epoque,R,1994-02-25,109,7.2,Fernando Fern�n G�mez,7915,Rafael Azcona,1992,,,,,,,,,,
50000000.0,Hollywood Pictures,USA,Jonathan Lynn,Comedy,46666502.0,The Distinguished Gentleman,R,1992-12-04,112,5.9,Eddie Murphy,13167,Marty Kaplan,1992,,,,,,,,,,
40000000.0,Christopher Columbus Productions,UK,John Glen,Adventure,8251071.0,Christopher Columbus: The Discovery,PG-13,1992-08-21,120,4.4,Marlon Brando,2418,Mario Puzo,1992,,,,,,,,,,
0.0,Imperial Entertainment,Denmark,Albert Pyun,Action,2001124.0,Nemesis,R,1993-01-29,95,5.6,Olivier Gruner,3987,Rebecca Charles,1992,,,,,,,,,,
10000000.0,Dimension Films,Hong Kong,Ringo Lam,Action,8332431.0,Twin Dragons,PG-13,1999-04-09,104,6.4,Jackie Chan,9292,Barry Wong,1992,,,,,,,,,,
0.0,Paramount Pictures,USA,Richard Pearce,Comedy,23369283.0,Leap of Faith,PG-13,1992-12-18,108,6.1,Steve Martin,10455,Janus Cercone,1992,,,,,,,,,,
17000000.0,Metro-Goldwyn-Mayer (MGM),USA,Michael Ritchie,Drama,4836637.0,Diggstown,R,1992-08-14,98,7.0,James Woods,6006,Leonard Wise,1992,,,,,,,,,,
