name,awards,oscar_wins_and_nominations,other_wins,other_nominations,total_awards_and_nominations
Airheads,,0,0,0,0
Highlander: The Final Dimension,1 nomination.,0,0,1,1
A Simple Twist of Fate,2 nominations.,0,0,2,2
Timecop: Polic�a del futuro,,0,0,0,0
Leprechaun 2,1 win.,0,1,0,1
Lassie,1 win & 1 nomination.,0,1,1,2
Angels in the Outfield,1 win & 4 nominations.,0,1,4,5
Angie,1 nomination.,0,0,1,1
In the Army Now,,0,0,0,0
Interview with the Vampire: The Vampire Chronicles,Nominated for 2 Oscars. 24 wins & 36 nominations total,2,24,36,62
Mosquito,1 nomination.,0,0,1,1
The Client,Nominated for 1 Oscar. Another 3 wins & 3 nominations.,1,3,3,7
Cops and Robbersons,,0,0,0,0
Ace Ventura: Pet Detective,5 wins & 5 nominations.,0,5,5,10
Natural Born Killers,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,0,5,11,16
Clear and Present Danger,Nominated for 2 Oscars. 3 wins & 11 nominations total,2,3,11,16
Clerks,6 wins & 10 nominations.,0,6,10,16
Mixed Nuts,1 nomination.,0,0,1,1
Naked Gun 33 1/3: The Final Insult,3 wins.,0,3,0,3
The Crow,5 wins & 7 nominations.,0,5,7,12
Nadja,2 wins & 5 nominations.,0,2,5,7
Texas Chainsaw Massacre: The Next Generation,,0,0,0,0
Chasers,,0,0,0,0
There Goes My Baby,1 nomination.,0,0,1,1
The Browning Version,Nominated for 2 BAFTA Film Awards. Another 7 wins & 1 nomination.,0,7,3,10
"Las aventuras de Priscilla, reina del desierto",,0,0,0,0
Clifford,,0,0,0,0
Lightning Jack,,0,0,0,0
Chungking Express,,0,0,0,0
My Girl 2,1 win & 2 nominations.,0,1,2,3
Death Machine,1 win & 2 nominations.,0,1,2,3
North,4 wins & 9 nominations.,0,4,9,13
The Madness of King George,Won 1 Oscar. Another 15 wins & 20 nominations.,1,15,20,36
The Flintstones,6 wins & 10 nominations.,0,6,10,16
Cabin Boy,2 nominations.,0,0,2,2
Ed Wood,Won 2 Oscars. Another 25 wins & 34 nominations.,2,25,34,61
The Mask,Nominated for 1 Oscar. Another 6 wins & 20 nominations.,1,6,20,27
Dumb and Dumber,5 wins & 3 nominations.,0,5,3,8
Drop Zone,,0,0,0,0
El Libro de la Selva,,0,0,0,0
S.F.W.,5 nominations.,0,0,5,5
Il Postino,Won 1 Oscar. Another 31 wins & 20 nominations.,1,31,20,52
The Little Rascals,2 wins.,0,2,0,2
The Lion King,Won 2 Oscars. 39 wins & 35 nominations total,2,39,35,76
Black Beauty,1 win & 1 nomination.,0,1,1,2
The Getaway,1 win & 3 nominations,0,1,3,4
The Legend of Drunken Master,3 wins & 1 nomination.,0,3,1,4
Beverly Hills Cop III,3 nominations,0,0,3,3
The Monster,6 nominations.,0,0,6,6
Burnt by the Sun,Won 1 Oscar. Another 4 wins & 10 nominations.,1,4,10,15
Rapa Nui,1 win & 1 nomination.,0,1,1,2
Quiz Show,Nominated for 4 Oscars. Another 6 wins & 32 nominations.,4,6,32,42
Little Giants,,0,0,0,0
D2: The Mighty Ducks,,0,0,0,0
Radioland Murders,,0,0,0,0
The Paper,,0,0,0,0
The Pagemaster,5 nominations.,0,0,5,5
Ready to Wear,3 wins & 3 nominations.,0,3,3,6
Dance Me Outside,4 wins & 2 nominations.,0,4,2,6
Reality Bites,2 nominations,0,0,2,2
Renaissance Man,,0,0,0,0
Four Weddings and a Funeral,Nominated for 2 Oscars. Another 24 wins & 26 nominations.,2,24,26,52
The Favor,,0,0,0,0
Street Fighter,2 nominations.,0,0,2,2
The Next Karate Kid,1 win.,0,1,0,1
With Honors,Nominated for 1 Golden Globe. Another 3 nominations.,0,0,4,4
The Last Seduction,Nominated for 1 BAFTA Film Award. Another 9 wins & 9 nominations.,0,9,10,19
Camp Nowhere,,0,0,0,0
The Hudsucker Proxy,3 wins & 4 nominations.,0,3,4,7
Blue Sky,Won 1 Oscar. Another 3 wins & 5 nominations.,1,3,5,9
Squanto: A Warrior's Tale,,0,0,0,0
8 Seconds,,0,0,0,0
Silent Fall,1 nomination.,0,0,1,1
Wyatt Earp,Nominated for 1 Oscar. 3 wins & 7 nominations total,1,3,7,11
I'll Do Anything,1 win & 2 nominations.,0,1,2,3
Sister My Sister,4 wins & 1 nomination.,0,4,1,5
Sleep with Me,1 nomination.,0,0,1,1
Disclosure,2 wins & 2 nominations,0,2,2,4
Brainscan,1 nomination.,0,0,1,1
Speed,Won 2 Oscars. Another 18 wins & 20 nominations.,2,18,20,40
Somos guerreros,,0,0,0,0
Death and the Maiden,5 nominations.,0,0,5,5
Death Wish V: The Face of Death,,0,0,0,0
Jimmy Hollywood,,0,0,0,0
Blue Chips,1 nomination.,0,0,1,1
Blown Away,2 nominations.,0,0,2,2
De amor y de sombras,,0,0,0,0
Blank Check,,0,0,0,0
Blankman,,0,0,0,0
Junior,Nominated for 1 Oscar. Another 4 nominations.,1,0,4,5
Wolf,2 wins & 10 nominations.,0,2,10,12
Double Happiness,6 wins & 6 nominations.,0,6,6,12
Double Dragon,,0,0,0,0
Stargate: la puerta del tiempo,,0,0,0,0
I Like It Like That,1 win & 5 nominations.,0,1,5,6
Shallow Grave,14 wins & 1 nomination.,0,14,1,15
Bullets Over Broadway,Won 1 Oscar. Another 21 wins & 30 nominations.,1,21,30,52
Star Trek: Generations,2 wins & 4 nominations.,0,2,4,6
Don Juan DeMarco,Nominated for 1 Oscar. Another 4 wins & 4 nominations.,1,4,4,9
I Love Trouble,,0,0,0,0
Serial Mom,1 nomination.,0,0,1,1
The Glass Shield,1 nomination.,0,0,1,1
Jason's Lyric,1 nomination.,0,0,1,1
Queen Margot,Nominated for 1 Oscar. Another 10 wins & 16 nominations.,1,10,16,27
3 Ninjas Kick Back,3 nominations.,0,0,3,3
A Troll in Central Park,,0,0,0,0
Baby's Day Out,,0,0,0,0
The Swan Princess,1 win & 8 nominations.,0,1,8,9
The Sum of Us,6 wins & 5 nominations.,0,6,5,11
Police Academy: Mission to Moscow,,0,0,0,0
It's Pat: The Movie,1 win & 7 nominations.,0,1,7,8
The River Wild,Nominated for 2 Golden Globes. Another 2 nominations.,0,0,4,4
House Party 3,,0,0,0,0
The Road to Wellville,3 nominations.,0,0,3,3
White Fang 2: Myth of the White Wolf,,0,0,0,0
Farinelli,Nominated for 1 Oscar. Another 6 wins & 3 nominations.,1,6,3,10
La boda de Muriel,,0,0,0,0
Surviving the Game,1 nomination.,0,0,1,1
Barcelona,1 win & 1 nomination.,0,1,1,2
The Santa Clause,2 wins & 8 nominations.,0,2,8,10
Criaturas celestiales,,0,0,0,0
A Good Man in Africa,,0,0,0,0
I.Q.,,0,0,0,0
Backbeat,5 wins & 4 nominations total,0,5,4,9
The Scout,,0,0,0,0
The Specialist,4 wins & 7 nominations,0,4,7,11
When a Man Loves a Woman,4 nominations.,0,0,4,4
The Secret of Roan Inish,1 win & 9 nominations.,0,1,9,10
The Shadow,4 nominations.,0,0,4,4
Swimming with Sharks,4 wins & 4 nominations.,0,4,4,8
The Shawshank Redemption,Nominated for 7 Oscars. 21 wins & 43 nominations total,7,21,43,71
Bad Girls,,0,0,0,0
PCU,,0,0,0,0
"Car 54, Where Are You?",2 wins & 2 nominations.,0,2,2,4
La fille de d'Artagnan,,0,0,0,0
Crooklyn,3 nominations.,0,0,3,3
Pulgarcita,,0,0,0,0
The Puppet Masters,2 nominations.,0,0,2,2
On Deadly Ground,1 win & 6 nominations.,0,1,6,7
Princess Caraboo,,0,0,0,0
Cemetery Man,9 wins & 11 nominations.,0,9,11,20
Exit to Eden,1 win & 4 nominations.,0,1,4,5
Immortal Beloved,1 nomination,0,0,1,1
Pulp Fiction,Won 1 Oscar. Another 69 wins & 75 nominations.,1,69,75,145
Only You,,0,0,0,0
Ex�tica,,0,0,0,0
Forrest Gump,Won 6 Oscars. Another 44 wins & 75 nominations.,6,44,75,125
The Ref,1 win & 1 nomination.,0,1,1,2
A Home of Our Own,1 win & 3 nominations.,0,1,3,4
Blink,2 nominations.,0,0,2,2
The Thing Called Love,,0,0,0,0
Airborne,,0,0,0,0
Aspen Extreme,,0,0,0,0
Undercover Blues,,0,0,0,0
The Wedding Banquet,,0,0,0,0
Arizona Dream,4 wins & 2 nominations.,0,4,2,6
Body Snatchers,6 nominations.,0,0,6,6
"Blood In, Blood Out",1 win & 1 nomination.,0,1,1,2
The Joy Luck Club,Nominated for 1 BAFTA Film Award. Another 4 wins & 4 nominations.,0,4,5,9
"Bodies, Rest & Motion",1 win & 1 nomination.,0,1,1,2
What's Love Got to Do with It,Nominated for 2 Oscars. Another 3 wins & 13 nominations.,2,3,13,18
What's Eating Gilbert Grape,Nominated for 1 Oscar. Another 8 wins & 6 nominations.,1,8,6,15
The Temp,1 win & 1 nomination.,0,1,1,2
The Good Son,1 win & 2 nominations.,0,1,2,3
The Vanishing,7 wins & 6 nominations.,0,7,6,13
Born Yesterday,Won 1 Oscar. 5 wins & 10 nominations total,1,5,10,16
Wrestling Ernest Hemingway,,0,0,0,0
The Thief and the Cobbler,,0,0,0,0
The Dark Half,4 wins & 11 nominations.,0,4,11,15
Addams Family Values,Nominated for 1 Oscar. Another 3 wins & 15 nominations.,1,3,15,19
Boxing Helena,1 win & 2 nominations.,0,1,2,3
Untamed Heart,2 wins & 1 nomination.,0,2,1,3
Beethoven's 2nd,Nominated for 1 Oscar. Another 4 nominations.,1,0,4,5
The Slingshot,1 win & 4 nominations.,0,1,4,5
The Nutcracker,,0,0,0,0
The Remains of the Day,Nominated for 8 Oscars. Another 17 wins & 33 nominations.,8,17,33,58
The Firm,Nominated for 2 Oscars. Another 3 wins & 5 nominations.,2,3,5,10
Amos & Andrew,Nominated for 3 Golden Globes. Another 4 nominations.,0,0,7,7
Best of the Best II,,0,0,0,0
The Nightmare Before Christmas,Nominated for 1 Oscar. Another 7 wins & 16 nominations.,1,7,16,24
The Real McCoy,,0,0,0,0
Calendar Girl,,0,0,0,0
Three Colors: Blue,Nominated for 3 Golden Globes. Another 21 wins & 15 nominations.,0,21,18,39
We're Back! A Dinosaur's Story,,0,0,0,0
Wilder Napalm,,0,0,0,0
Tombstone,2 nominations.,0,0,2,2
Benny & Joon,,0,0,0,0
The Program,,0,0,0,0
A Far Off Place,,0,0,0,0
Three of Hearts,,0,0,0,0
A Dangerous Woman,1 win & 4 nominations.,0,1,4,5
The Pelican Brief,1 win & 2 nominations.,0,1,2,3
Weekend at Bernie's II,1 win & 1 nomination.,0,1,1,2
Who's the Man?,,0,0,0,0
This Boy's Life,2 wins & 2 nominations.,0,2,2,4
The Meteor Man,1 nomination.,0,0,1,1
Un d�a de furia,,0,0,0,0
The Crush,2 wins & 3 nominations.,0,2,3,5
Alive,Nominated for 1 Primetime Emmy. Another 1 win & 1 nomination.,0,1,2,3
Carnosaur,,0,0,0,0
The Secret Garden,Nominated for 1 BAFTA Film Award. Another 3 wins & 5 nominations.,0,3,6,9
A Perfect World,1 win & 1 nomination.,0,1,1,2
Wide Sargasso Sea,,0,0,0,0
Warlock: The Armageddon,2 nominations.,0,0,2,2
Witchboard 2,,0,0,0,0
Another Stakeout,1 nomination.,0,0,1,1
Batman: Mask of the Phantasm,1 nomination.,0,0,1,1
True Romance,1 win & 10 nominations.,0,1,10,11
A Bronx Tale,1 win & 3 nominations,0,1,3,4
The Sandlot,1 nomination,0,0,1,1
The Fugitive,Won 1 Oscar. Another 12 wins & 37 nominations.,1,12,37,50
Watch It,,0,0,0,0
The Saint of Fort Washington,1 win & 2 nominations.,0,1,2,3
The Man Without a Face,3 nominations.,0,0,3,3
CB4,,0,0,0,0
Wayne's World 2,3 nominations.,0,0,3,3
Carlito's Way,2 wins & 9 nominations.,0,2,9,11
Splitting Heirs,1 nomination.,0,0,1,1
Naked in New York,1 win & 1 nomination.,0,1,1,2
Once Upon a Forest,1 win & 1 nomination.,0,1,1,2
Needful Things,1 win & 6 nominations.,0,1,6,7
Swing Kids,1 win & 1 nomination.,0,1,1,2
Free Willy,7 wins & 2 nominations.,0,7,2,9
Freaked,2 wins & 9 nominations.,0,2,9,11
Nowhere to Run,1 nomination.,0,0,1,1
Surf Ninjas,1 nomination.,0,0,1,1
For the Moment,2 wins & 2 nominations.,0,2,2,4
For Love or Money,,0,0,0,0
Super Mario Bros.,2 nominations,0,0,2,2
Once Upon a Time in China III,1 win & 1 nomination.,0,1,1,2
My Boyfriend's Back,,0,0,0,0
Only the Strong,,0,0,0,0
Fire in the Sky,4 nominations.,0,0,4,4
Sugar Hill,,0,0,0,0
Striking Distance,,0,0,0,0
Fear of a Black Hat,1 nomination,0,0,1,1
Father Hood,,0,0,0,0
Fatal Instinct,,0,0,0,0
Philadelphia,Won 2 Oscars. 20 wins & 23 nominations total,2,20,23,45
My Life,,0,0,0,0
Cronos,23 wins & 13 nominations,0,23,13,36
Teenage Mutant Ninja Turtles III,1 win.,0,1,0,1
Manhattan Murder Mystery,Nominated for 1 Golden Globe. Another 3 nominations.,0,0,4,4
Matinee,1 win.,0,1,0,1
Gunmen,,0,0,0,0
Guilty as Sin,1 win.,0,1,0,1
Grumpy Old Men,1 win & 1 nomination,0,1,1,2
Groundhog Day,Won 1 BAFTA Film Award. Another 6 wins & 17 nominations.,0,7,17,24
Menace II Society,2 wins & 4 nominations.,0,2,4,6
Mi vida loca,,0,0,0,0
Money for Nothing,,0,0,0,0
Crime Story,2 wins & 8 nominations.,0,2,8,10
Germinal,2 wins & 11 nominations.,0,2,11,13
Mother's Boys,1 nomination.,0,0,1,1
Ghost in the Machine,,0,0,0,0
Mr. Jones,4 wins & 12 nominations.,0,4,12,16
Mr. Nanny,2 nominations.,0,0,2,2
Mr. Wonderful,,0,0,0,0
Gettysburg,1 win & 1 nomination.,0,1,1,2
Mrs. Doubtfire,Won 1 Oscar. Another 10 wins & 10 nominations.,1,10,10,21
Geronimo: An American Legend,Nominated for 1 Oscar. Another 1 win & 1 nomination.,1,1,1,3
Philadelphia Experiment II,,0,0,0,0
Strawberry and Chocolate,Nominated for 1 Oscar. Another 25 wins & 1 nomination.,1,25,1,27
Farewell My Concubine,Nominated for 2 Oscars. Another 25 wins & 10 nominations.,2,25,10,37
Dragon: The Bruce Lee Story,1 win & 3 nominations.,0,1,3,4
Schindler's List,Won 7 Oscars. Another 85 wins & 49 nominations.,7,85,49,141
Searching for Bobby Fischer,Nominated for 1 Oscar. 5 wins & 10 nominations total,1,5,10,16
Shadowlands,Nominated for 2 Oscars. Another 7 wins & 12 nominations.,2,7,12,21
Short Cuts,Nominated for 1 Oscar. Another 17 wins & 18 nominations.,1,17,18,36
Silent Tongue,1 nomination.,0,0,1,1
Sirenas,,0,0,0,0
"Faraway, So Close!",1 nomination.,0,0,1,1
Sister Act 2: Back in the Habit,1 win & 3 nominations.,0,1,3,4
Six Degrees of Separation,Nominated for 1 Oscar. Another 5 nominations.,1,0,5,6
Sleepless in Seattle,Nominated for 2 Oscars. 4 wins & 19 nominations total,2,4,19,25
Dennis the Menace,3 wins & 3 nominations.,0,3,3,6
Sliver,4 wins & 9 nominations.,0,4,9,13
Demolition Man,1 win & 7 nominations.,0,1,7,8
Sniper,,0,0,0,0
So I Married an Axe Murderer,,0,0,0,0
Sommersby,2 wins.,0,2,0,2
Son in Law,1 nomination.,0,0,1,1
Rudy,2 wins & 1 nomination.,0,2,1,3
Ruby in Paradise,3 wins & 7 nominations.,0,3,7,10
Poetic Justice,Nominated for 1 Oscar. Another 4 wins & 4 nominations.,1,4,4,9
Point of No Return,,0,0,0,0
Posse,1 nomination.,0,0,1,1
Even Cowgirls Get the Blues,4 nominations.,0,0,4,4
Ethan Frome,,0,0,0,0
Dangerous Game,1 win & 1 nomination.,0,1,1,2
En el nombre del padre,,0,0,0,0
Red Rock West,3 nominations.,0,0,3,3
El piano,,0,0,0,0
El cuerpo del delito,,0,0,0,0
Return of the Living Dead III,3 wins & 1 nomination,0,3,1,4
El cielo y la tierra,,0,0,0,0
Rising Sun,1 win & 1 nomination.,0,1,1,2
Robin Hood: Men in Tights,1 nomination.,0,0,1,1
RoboCop 3,3 nominations.,0,0,3,3
Romeo Is Bleeding,2 nominations.,0,0,2,2
Dave,Nominated for 1 Oscar. Another 2 wins & 5 nominations.,1,2,5,8
Rookie of the Year,1 win & 1 nomination.,0,1,1,2
Dazed and Confused,1 win & 4 nominations.,0,1,4,5
Man's Best Friend,1 win & 5 nominations.,0,1,5,6
Son of the Pink Panther,3 nominations.,0,0,3,3
The Advocate,,0,0,0,0
The Adventures of Huck Finn,,0,0,0,0
Cool Runnings,2 wins & 2 nominations,0,2,2,4
M. Butterfly,1 win & 1 nomination.,0,1,1,2
Hexed,,0,0,0,0
Cliffhanger,Nominated for 3 Oscars. Another 1 win & 9 nominations.,3,1,9,13
Judgment Night,,0,0,0,0
The Ballad of Little Jo,2 nominations.,0,0,2,2
Heart and Souls,1 win & 10 nominations.,0,1,10,11
Hot Shots! Part Deux,1 win.,0,1,0,1
Love & Human Remains,2 wins & 1 nomination.,0,2,1,3
Lost in Yonkers,1 nomination.,0,0,1,1
Los visitantes,1 nomination.,0,0,1,1
La casa de los esp�ritus,,0,0,0,0
Look Who's Talking Now,1 win & 4 nominations.,0,1,4,5
Jurassic Park,Won 3 Oscars. Another 42 wins & 27 nominations.,3,42,27,72
Coneheads,2 nominations.,0,0,2,2
The Beverly Hillbillies,1 win & 1 nomination.,0,1,1,2
Loaded Weapon 1,,0,0,0,0
Life with Mikey,2 wins & 2 nominations.,0,2,2,4
The Age of Innocence,Won 1 Oscar. Another 14 wins & 33 nominations.,1,14,33,48
Kalifornia,4 wins & 4 nominations.,0,4,4,8
Killing Zoe,2 wins & 1 nomination.,0,2,1,3
Little Buddha,2 wins & 3 nominations,0,2,3,5
Jason Goes to Hell: The Final Friday,5 nominations.,0,0,5,5
Josh and S.A.M.,,0,0,0,0
Hocus Pocus,2 wins & 11 nominations.,0,2,11,13
Iron Monkey,2 nominations.,0,0,2,2
Cop & �,,0,0,0,0
Indian Summer,,0,0,0,0
Made in America,1 win & 1 nomination.,0,1,1,2
Leprechaun,1 win & 1 nomination.,0,1,1,2
Mad Dog and Glory,2 nominations.,0,0,2,2
Indecent Proposal,7 wins & 8 nominations,0,7,8,15
Homeward Bound: The Incredible Journey,1 nomination,0,0,1,1
In the Line of Fire,Nominated for 3 Oscars. Another 2 wins & 14 nominations.,3,2,14,19
Jack the Bear,1 win & 3 nominations.,0,1,3,4
Hard Target,1 win & 5 nominations.,0,1,5,6
Last Action Hero,1 win & 16 nominations,0,1,16,17
El Mariachi,7 wins & 4 nominations.,0,7,4,11
Rich in Love,,0,0,0,0
The Mighty Ducks,2 nominations.,0,0,2,2
Radio Flyer,1 win & 2 nominations.,0,1,2,3
Home Alone 2: Lost in New York,3 wins & 3 nominations.,0,3,3,6
White Sands,,0,0,0,0
Roadside Prophets,,0,0,0,0
House of Angels,7 wins & 3 nominations.,0,7,3,10
The Public Eye,,0,0,0,0
HouseSitter,,0,0,0,0
Prelude to a Kiss,,0,0,0,0
Romper Stomper,8 wins & 7 nominations.,0,8,7,15
A League of Their Own,6 wins & 13 nominations.,0,6,13,19
A Few Good Men,Nominated for 4 Oscars. Another 10 wins & 26 nominations.,4,10,26,40
Whispers in the Dark,1 nomination.,0,0,1,1
The Power of One,1 win & 4 nominations.,0,1,4,5
White Men Can't Jump,4 nominations.,0,0,4,4
Raising Cain,5 nominations.,0,0,5,5
Rapid Fire,,0,0,0,0
Belle Epoque,Won 1 Oscar. Another 24 wins & 15 nominations.,1,24,15,40
Honey I Blew Up the Kid,10 nominations,0,0,10,10
The Opposite Sex and How to Live with Them,,0,0,0,0
Pure Country,,0,0,0,0
Howards End,Won 3 Oscars. Another 29 wins & 49 nominations.,3,29,49,81
Beethoven,1 win & 4 nominations.,0,1,4,5
Encino Man,1 win & 1 nomination.,0,1,1,2
The Playboys,1 win.,0,1,0,1
Honeymoon in Vegas,Nominated for 2 Golden Globes. Another 2 nominations.,0,0,4,4
Kuffs,1 win & 1 nomination.,0,1,1,2
The Player,Nominated for 3 Oscars. Another 24 wins & 30 nominations.,3,24,30,57
Reservoir Dogs,12 wins & 23 nominations.,0,12,23,35
The Muppet Christmas Carol,2 wins & 1 nomination.,0,2,1,3
Big Girls Don't Cry... They Get Even,,0,0,0,0
Man Bites Dog,6 wins & 5 nominations.,0,6,5,11
Ruby,,0,0,0,0
Boomerang,1 win & 5 nominations,0,1,5,6
Diggstown,,0,0,0,0
Sidekicks,,0,0,0,0
Year of the Comet,,0,0,0,0
Simple Men,2 nominations.,0,0,2,2
Single White Female,1 win & 1 nomination.,0,1,1,2
Singles,1 win & 3 nominations.,0,1,3,4
3 Ninjas,1 nomination.,0,0,1,1
Sister Act,9 wins & 10 nominations,0,9,10,19
Zebrahead,2 wins & 5 nominations.,0,2,5,7
Ruby Cairo,,0,0,0,0
Sleepwalkers,5 wins.,0,5,0,5
1492: Conquista del Para�so,,0,0,0,0
In the Soup,5 wins & 3 nominations.,0,5,3,8
Sneakers,2 nominations,0,0,2,2
Into the Sun,,0,0,0,0
Brain Donors,,0,0,0,0
Bram Stoker's Dracula,,0,0,0,0
Deep Cover,4 nominations.,0,0,4,4
Indochine,Won 1 Oscar. Another 11 wins & 13 nominations.,1,11,13,25
Bob Roberts,Nominated for 1 Golden Globe. Another 4 wins & 2 nominations.,0,4,3,7
Jennifer 8,5 wins.,0,5,0,5
Shining Through,5 wins & 2 nominations,0,5,2,7
Shadow of the Wolf,2 wins & 2 nominations.,0,2,2,4
The Mambo Kings,Nominated for 1 Oscar. Another 5 nominations.,1,0,5,6
Wind,,0,0,0,0
The Lover,Nominated for 1 Oscar. Another 3 wins & 6 nominations.,1,3,6,10
The Long Day Closes,2 wins & 1 nomination.,0,2,1,3
Husbands and Wives,Nominated for 2 Oscars. Another 12 wins & 15 nominations.,2,12,15,29
Poison Ivy,2 nominations.,0,0,2,2
Just Another Girl on the I.R.T.,2 wins & 3 nominations.,0,2,3,5
Sarafina!,3 nominations.,0,0,3,3
Dr. Giggles,1 win & 2 nominations.,0,1,2,3
The Lawnmower Man,3 nominations.,0,0,3,3
The Last of the Mohicans,Won 1 Oscar. Another 6 wins & 17 nominations.,1,6,17,24
Scent of a Woman,Won 1 Oscar. 6 wins & 14 nominations total,1,6,14,21
Juice,1 nomination.,0,0,1,1
School Ties,3 nominations.,0,0,3,3
Blame It on the Bellboy,,0,0,0,0
Juego a muerte,,0,0,0,0
Batman Returns,Nominated for 2 Oscars. Another 2 wins & 27 nominations.,2,2,27,31
Leaving Normal,,0,0,0,0
Ladybugs,3 nominations.,0,0,3,3
Tokyo Decadence,1 win.,0,1,0,1
Unlawful Entry,1 nomination.,0,0,1,1
Mr. Baseball,1 nomination.,0,0,1,1
Luna amarga,,0,0,0,0
Used People,Nominated for 2 Golden Globes. Another 2 nominations.,0,0,4,4
Aces: Iron Eagle III,,0,0,0,0
Thunderheart,2 nominations.,0,0,2,2
Mr. Saturday Night,Nominated for 1 Oscar. Another 7 nominations.,1,0,7,8
Love Potion No. 9,,0,0,0,0
Love Field,Nominated for 1 Oscar. Another 1 win & 3 nominations.,1,1,3,5
Love Crimes,1 nomination.,0,0,1,1
Lorenzo's Oil,Nominated for 2 Oscars. Another 6 nominations.,2,0,6,8
This Is My Life,3 nominations.,0,0,3,3
My Cousin Vinny,Won 1 Oscar. Another 4 wins & 6 nominations.,1,4,6,11
My New Gun,1 nomination.,0,0,1,1
"Gas, Food Lodging",4 wins & 6 nominations.,0,4,6,10
Naked Killer,1 nomination.,0,0,1,1
The Hand That Rocks the Cradle,6 wins & 6 nominations.,0,6,6,12
Nemesis,,0,0,0,0
Glengarry Glen Ross,Nominated for 1 Oscar. Another 8 wins & 12 nominations.,1,8,12,21
Mom and Dad Save the World,1 nomination.,0,0,1,1
Night and the City,,0,0,0,0
Mo' Money,1 win.,0,1,0,1
Alien 3,,0,0,0,0
Aladdin,Won 2 Oscars. Another 31 wins & 22 nominations.,2,31,22,55
Malcolm X,Nominated for 2 Oscars. Another 19 wins & 22 nominations.,2,19,22,43
Under Siege,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,2,3,1,6
Map of the Human Heart,3 wins & 8 nominations.,0,3,8,11
Twin Peaks: Fire Walk with Me,4 wins & 7 nominations.,0,4,7,11
Twin Dragons,1 nomination.,0,0,1,1
Guncrazy,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,0,1,2,3
Medicine Man,1 nomination.,0,0,1,1
Unforgiven,Won 4 Oscars. 50 wins & 47 nominations total,4,50,47,101
American Heart,1 win & 4 nominations.,0,1,4,5
Memoirs of an Invisible Man,5 nominations.,0,0,5,5
American Me,1 nomination.,0,0,1,1
Mac,1 win & 2 nominations.,0,1,2,3
Universal Soldier,,0,0,0,0
Traces of Red,1 nomination.,0,0,1,1
Toys,Nominated for 2 Oscars. Another 10 nominations.,2,0,10,12
Mistress,,0,0,0,0
Newsies,1 win & 6 nominations.,0,1,6,7
The Waterdance,5 wins & 5 nominations.,0,5,5,10
Hold Me Thrill Me Kiss Me,1 win & 1 nomination.,0,1,1,2
A Place in the World,Nominated for 1 Oscar. Another 16 wins & 6 nominations.,1,16,6,23
Final Analysis,1 win & 4 nominations.,0,1,4,5
Bad Lieutenant,2 wins & 5 nominations.,0,2,5,7
Fifty/Fifty,,0,0,0,0
Passed Away,1 nomination.,0,0,1,1
Passenger 57,,0,0,0,0
Passion Fish,Nominated for 2 Oscars. Another 2 wins & 9 nominations.,2,2,9,13
FernGully: Las aventuras de Zak y Crysta,,0,0,0,0
City of Joy,1 nomination.,0,0,1,1
Lethal Weapon 3,3 wins & 4 nominations,0,3,4,7
Bajos instintos,,0,0,0,0
Waterland,1 win & 1 nomination.,0,1,1,2
Wayne's World,4 wins & 5 nominations.,0,4,5,9
Man Trouble,1 nomination.,0,0,1,1
Leap of Faith,,0,0,0,0
Pet Sematary II,3 nominations.,0,0,3,3
Peter's Friends,4 wins & 3 nominations.,0,4,3,7
A Midnight Clear,1 nomination.,0,0,1,1
Laws of Gravity,3 wins & 7 nominations.,0,3,7,10
Hoffa,Nominated for 2 Oscars. Another 2 wins & 4 nominations.,2,2,4,8
Far and Away,3 nominations,0,0,3,3
Out on a Limb,1 win.,0,1,0,1
The Story of Qiu Ju,20 wins & 10 nominations.,0,20,10,30
Freejack,3 nominations.,0,0,3,3
Orlando,Nominated for 2 Oscars. Another 15 wins & 9 nominations.,2,15,9,26
Army of Darkness,12 wins & 7 nominations.,0,12,7,19
Article 99,,0,0,0,0
No Place to Hide,,0,0,0,0
Freddie as F.R.O.7.,,0,0,0,0
Noises Off...,1 win.,0,1,0,1
Fortress,2 nominations.,0,0,2,2
Hellraiser III: Hell on Earth,1 win & 10 nominations.,0,1,10,11
Forever Young,,0,0,0,0
The Tom and Jerry Movie,,0,0,0,0
A Stranger Among Us,1 win & 3 nominations.,0,1,3,4
Of Mice and Men,1 nomination.,0,0,1,1
Light Sleeper,1 win & 6 nominations.,0,1,6,7
"Olivier, Olivier",2 wins & 3 nominations.,0,2,3,5
Once Upon a Crime...,1 nomination.,0,0,1,1
Folks!,1 nomination.,0,0,1,1
One False Move,8 wins & 8 nominations.,0,8,8,16
A River Runs Through It,Won 1 Oscar. Another 3 wins & 11 nominations.,1,3,11,15
Patriot Games,1 win & 3 nominations,0,1,3,4
Innocent Blood,6 nominations.,0,0,6,6
Supercop,2 wins & 4 nominations.,0,2,4,6
Class Act,,0,0,0,0
Christopher Columbus: The Discovery,2 wins & 6 nominations.,0,2,6,8
Dead Alive,14 wins & 7 nominations.,0,14,7,21
Candyman,5 wins & 10 nominations.,0,5,10,15
B�b�'s Kids,,0,0,0,0
The Cutting Edge,,0,0,0,0
