name,awards,oscar_wins_and_nominations,other_wins,other_nominations,total_awards_and_nominations
Ip Man 3,5 wins & 21 nominations.,0,5,21,26
Mississippi Grind,2 wins & 3 nominations.,0,2,3,5
Remember,6 wins & 24 nominations,0,6,24,30
Krisha,16 wins & 28 nominations,0,16,28,44
El principito,,0,0,0,0
The Second Best Exotic Marigold Hotel,4 nominations.,0,0,4,4
Green Room,8 wins & 25 nominations,0,8,25,33
El transportador recargado,,0,0,0,0
The Sea of Trees,2 nominations,0,0,2,2
Krampus,4 wins & 14 nominations,0,4,14,18
Misi�n: imposible 5 - Naci�n secreta,,0,0,0,0
Regression,1 win & 2 nominations.,0,1,2,3
Esta chica es un desastre,,0,0,0,0
We Are Your Friends,,0,0,0,0
Equals,1 win & 5 nominations,0,1,5,6
The Longest Ride,1 win & 5 nominations,0,1,5,6
War Room,5 wins,0,5,0,5
El hijo de Sa�l,,0,0,0,0
El gran peque�o,,0,0,0,0
Minions,Nominated for 1 BAFTA Film Award. Another 4 wins & 26 nominations.,0,4,27,31
Goosebumps,4 nominations,0,0,4,4
Hotel Transylvania 2,1 win & 10 nominations.,0,1,10,11
The Man Who Knew Infinity,1 win & 3 nominations,0,1,3,4
Everest,1 win & 8 nominations.,0,1,8,9
Revancha,,0,0,0,0
Revenant: El Renacido,,0,0,0,0
Ricki and the Flash,4 nominations,0,0,4,4
Project Almanac,,0,0,0,0
Hot Tub Time Machine 2,2 nominations.,0,0,2,2
Irrational Man,3 nominations,0,0,3,3
Bajo la arena,,0,0,0,0
Shaun the Sheep Movie,Nominated for 1 Oscar. 5 wins & 50 nominations total,1,5,50,56
Self/less,,0,0,0,0
Woman in Gold,6 nominations.,0,0,6,6
Straight Outta Compton,Nominated for 1 Oscar. 28 wins & 40 nominations total,1,28,40,69
Paul Blart: Mall Cop 2,1 win & 9 nominations.,0,1,9,10
Magic Mike XXL,2 wins & 5 nominations.,0,2,5,7
Jem and the Holograms,2 nominations,0,0,2,2
Paranormal Activity: The Ghost Dimension,1 win & 4 nominations,0,1,4,5
Maggie's Plan,1 win & 9 nominations.,0,1,9,10
Maggie,1 win & 4 nominations.,0,1,4,5
Strangerland,1 win & 6 nominations.,0,1,6,7
Strange Magic,1 win & 4 nominations.,0,1,4,5
Hardcore: Misi�n extrema,,0,0,0,0
Spectre,Won 1 Oscar. Another 7 wins & 37 nominations.,1,7,37,45
Macbeth,4 wins & 30 nominations.,0,4,30,34
Inside Out,Won 1 Oscar. Another 99 wins & 116 nominations.,1,99,116,216
Danny Collins,1 win & 4 nominations.,0,1,4,5
Steve Jobs,Nominated for 2 Oscars. Another 28 wins & 112 nominations.,2,28,112,142
Una historia de amor y oscuridad,,0,0,0,0
Mad Max: Fury Road,Won 6 Oscars. Another 239 wins & 231 nominations.,6,239,231,476
Knock Knock,,0,0,0,0
Spotlight,Won 2 Oscars. 124 wins & 143 nominations total,2,124,143,269
Star Wars: The Force Awakens,,0,0,0,0
Spy,Nominated for 2 Golden Globes. Another 6 wins & 28 nominations.,0,6,30,36
Fifty Shades of Grey,Nominated for 1 Oscar. Another 9 wins & 27 nominations.,1,9,27,37
The Lady in the Van,1 win & 8 nominations total,0,1,8,9
Jenny's Wedding,1 nomination,0,0,1,1
Un hombre gru��n,,0,0,0,0
Daddy's Home,1 win & 4 nominations.,0,1,4,5
Unfinished Business,1 nomination,0,0,1,1
The SpongeBob Movie: Sponge Out of Water,1 win & 9 nominations.,0,1,9,10
Mistress America,2 wins & 14 nominations,0,2,14,16
Sicario,Nominated for 3 Oscars. 15 wins & 158 nominations total,3,15,158,176
The Meddler,6 nominations,0,0,6,6
Pan,8 nominations,0,0,8,8
A Bigger Splash,4 wins & 19 nominations,0,4,19,23
Sinister 2,1 win & 3 nominations.,0,1,3,4
Sisters,4 nominations.,0,0,4,4
Desierto,2 wins & 21 nominations.,0,2,21,23
90 Minutes in Heaven,,0,0,0,0
Sleeping with Other People,2 nominations.,0,0,2,2
Trumbo,Nominated for 1 Oscar. Another 8 wins & 44 nominations.,1,8,44,53
Paper Towns,4 wins & 3 nominations.,0,4,3,7
Slow West,7 wins & 20 nominations.,0,7,20,27
Suffragette,17 wins & 20 nominations.,0,17,20,37
Jane Got a Gun,1 nomination,0,0,1,1
Demolition,1 win & 2 nominations.,0,1,2,3
Blackhat,1 win & 5 nominations,0,1,5,6
Blackway,,0,0,0,0
The Judge,Nominated for 1 Oscar. Another 3 wins & 8 nominations.,1,3,8,12
The Keeping Room,3 wins & 8 nominations,0,3,8,11
The November Man,,0,0,0,0
The Guest,4 wins & 13 nominations.,0,4,13,17
Horrible Bosses 2,1 win & 3 nominations.,0,1,3,4
Before I Go to Sleep,,0,0,0,0
The Hunger Games: Mockingjay - Part 1,21 wins & 32 nominations.,0,21,32,53
Honeymoon,5 nominations.,0,0,5,5
Before We Go,,0,0,0,0
