name,year,budget,gross,adjusted_budget,adjusted_gross
Macbeth,2015,15000000,1108247,16379268,1210152
Love the Coopers,2015,17000000,26284475,18563171,28701364
Misi�n: imposible 5 - Naci�n secreta,2015,150000000,195042377,163792682,212976760
War Room,2015,3000000,67790117,3275854,74023500
Miss You Already,2015,0,1162653,0,1269560
Mississippi Grind,2015,0,129747,0,141677
Vacation,2015,31000000,58884188,33850488,64298660
Freeheld,2015,7000000,532988,7643658,581997
Frente al mar,2015,10000000,531009,10919512,579836
A Walk in the Woods,2015,8000000,29467855,8735610,32177460
M�s fuerte que las bombas,2015,11000000,161789,12011463,176666
Furious 7,2015,190000000,353007020,207470730,385466443
Victor Frankenstein,2015,40000000,5775076,43678048,6306101
Mustang: belleza salvaje,2015,0,845464,0,923205
Mr. Right,2015,8000000,25369,8735610,27702
Get Hard,2015,40000000,90411453,43678048,98724896
Mr. Holmes,2015,10000000,17737646,10919512,19368644
Mortdecai,2015,60000000,7605668,65517073,8305018
Mistress America,2015,0,2461121,0,2687424
Los 33,2015,26000000,12188642,28390731,13309402
"Hello, My Name Is Doris",2015,1000000,14443077,1091951,15771135
A Bigger Splash,2015,0,1982505,0,2164799
3 Generations,2015,5000000,66371,5459756,72474
Jurassic World,2015,150000000,652270625,163792682,712247698
Jupiter Ascending,2015,176000000,47387723,192183413,51745081
Joy,2015,60000000,56451232,65517073,61641991
I Saw the Light,2015,13000000,1646468,14195366,1797863
Z for Zachariah,2015,0,118483,0,129378
I'll See You in My Dreams,2015,0,7425963,0,8108789
Jenny's Wedding,2015,0,2254,0,2461
Jem and the Holograms,2015,5000000,2184640,5459756,2385520
Jane Got a Gun,2015,25000000,1512815,27298780,1651920
Irrational Man,2015,11000000,4027764,12011463,4398122
Ip Man 3,2015,36000000,2679437,39310244,2925814
In the Heart of the Sea,2015,100000000,25020758,109195121,27321447
Into the Forest,2015,0,6438,0,7030
Insurgent,2015,110000000,130179072,120114633,142149195
Inside Out,2015,175000000,356461711,191091462,389238797
Youth,2015,0,2698509,0,2946640
Knight of Cups,2015,0,558402,0,609748
Legend,2015,30000000,1872994,32758536,2045218
Knock Knock,2015,2500000,36336,2729878,39677
90 Minutes in Heaven,2015,5000000,4700361,5459756,5132565
Woman in Gold,2015,11000000,33305037,12011463,36367475
High-Rise,2015,0,343139,0,374691
Hitman: Agent 47,2015,35000000,22464430,38218292,24530062
La �ltima ola,2015,0,176637,0,192879
Home,2015,135000000,177397510,147413413,193709426
La noche del demonio: Capitulo 3,2015,10000000,52218558,10919512,57020118
La langosta,2015,0,8699235,0,9499140
La habitaci�n,2015,13000000,14677654,14195366,16027282
45 Years,2015,0,4250507,0,4641346
Krisha,2015,0,140779,0,153724
Krampus,2015,15000000,42592530,16379268,46508965
Hot Tub Time Machine 2,2015,14000000,12282677,15287317,13412084
Hotel Transylvania 2,2015,80000000,169700110,87356097,185304240
Focus,2015,50100000,53862963,54706756,58815728
The Peanuts Movie,2015,99000000,130178411,108103170,142148473
Regression,2015,0,54734,0,59767
Pixels,2015,88000000,78747585,96091707,85988521
Trumbo,2015,15000000,7857741,16379268,8580270
True Story,2015,0,4715819,0,5149444
Ricki and the Flash,2015,18000000,26822144,19655122,29288473
Experimenter,2015,0,155075,0,169334
Far from the Madding Crowd,2015,0,12229314,0,13353814
Unfinished Business,2015,35000000,10214013,38218292,11153204
Poltergeist,2015,35000000,47425125,38218292,51785923
Esta chica es un desastre,2015,35000000,110212700,38218292,120346891
The Perfect Guy,2015,12000000,57017904,13103415,62260769
Equals,2015,16000000,32095,17471219,35046
Revenant: El Renacido,2015,135000000,183637894,147413413,200523621
Aloha,2015,37000000,20991497,40402195,22921691
El hijo de Sa�l,2015,0,1777043,0,1940444
Eye in the Sky,2015,13000000,18700837,14195366,20420402
Project Almanac,2015,12000000,22331028,13103415,24384393
Revancha,2015,30000000,52421953,32758536,57242215
Una historia de amor y oscuridad,2015,4000000,569381,4367805,621736
Paul Blart: Mall Cop 2,2015,30000000,71038190,32758536,77570238
