name,year,budget,gross,adjusted_budget,adjusted_gross
A Rage in Harlem,1991,8000000,10438504,15201821,19835533
Life Stinks,1991,13000000,4102526,24702959,7795733
London Kills Me,1991,0,170667,0,324306
Liebestraum,1991,0,133645,0,253956
City of Hope,1991,3000000,1264910,5700683,2403617
City Slickers,1991,27000000,124033791,51306145,235692434
What About Bob?,1991,35000000,63710000,66507966,121063501
Boyz n the Hood,1991,6500000,57504069,12351479,109270819
The Hitman,1991,0,4654288,0,8844207
Hear My Song,1991,0,4313173,0,8196010
A Kiss Before Dying,1991,0,15429177,0,29318948
High Heels,1991,0,1710057,0,3249498
The Butcher's Wife,1991,0,9689816,0,18412856
Late for Dinner,1991,0,8906823,0,16924991
"He Said, She Said",1991,0,9804775,0,18631304
Where Angels Fear to Tread,1991,0,1403033,0,2666082
Where the Day Takes You,1991,3000000,390152,5700683,741378
Highlander II: The Quickening,1991,30000000,15556340,57006828,29560587
Close My Eyes,1991,0,135893,0,258228
The Ballad of the Sad Cafe,1991,0,184890,0,351333
Highway 61,1991,0,291645,0,554192
Closet Land,1991,4000000,259012,7600910,492182
Voyager,1991,0,516517,0,981500
Lovers: A True Story,1991,0,1407309,0,2674207
The Inner Circle,1991,0,583979,0,1109693
The Hard Way,1991,0,25895485,0,49207315
Meeting Venus,1991,0,1000348,0,1900889
If Looks Could Kill,1991,0,7788597,0,14800107
Mobsters,1991,23000000,20246790,43705235,38473509
Twenty-One,1991,0,256521,0,487448
Mortal Thoughts,1991,8000000,19018321,15201821,36139139
Johnny Stecchino,1991,0,574392,0,1091476
Year of the Gun,1991,0,1182273,0,2246588
All I Want for Christmas,1991,0,14812000,0,28146171
The Knife,1991,0,356825,0,678049
Switch,1991,0,15545943,0,29540830
29th Street,1991,0,2120564,0,4029554
True Identity,1991,15000000,4693236,28503414,8918217
Jungle Fever,1991,14000000,32482682,26603186,61724489
True Colors,1991,0,418807,0,795829
The Last Boy Scout,1991,29000000,59509925,55106601,113082402
The Five Heartbeats,1991,0,8750400,0,16627752
The Fisher King,1991,24000000,41895491,45605463,79610969
The Princess and the Goblin,1991,0,2144238,0,4074540
My Girl,1991,17000000,59847242,32303869,113723381
My Heroes Have Always Been Cowboys,1991,0,3603615,0,6847689
JFK,1991,40000000,70405498,76009104,133786471
Impromptu,1991,0,4076211,0,7745729
Black Robe,1991,0,8211952,0,15604578
My Own Private Idaho,1991,2500000,6401336,4750569,12163995
Mississippi Masala,1991,0,7310000,0,13890664
Cape Fear,1991,35000000,79100000,66507966,150308004
The Double Life of Veronique,1991,0,1999955,0,3800370
Grand Canyon,1991,0,33243020,0,63169304
Career Opportunities,1991,0,11336986,0,21542854
Talkin' Dirty After Dark,1991,0,978775,0,1859895
The Doors,1991,38000000,35183792,72208649,66857213
Kafka,1991,11000000,1059071,20902504,2012476
The Doctor,1991,0,38120905,0,72438396
Under Suspicion,1991,0,221295,0,420511
K2,1991,0,3106559,0,5903169
Talent for the Game,1991,0,336396,0,639229
Hudson Hawk,1991,65000000,17218080,123514794,32718271
King Ralph,1991,0,34002045,0,64611625
Kickboxer 2: The Road Back,1991,0,1250712,0,2376637
RoboCop 2,1990,35000000,45681173,69306695,90457460
Hidden Agenda,1990,0,1030938,0,2041454
Jacob's Ladder,1990,25000000,26118851,49504782,51720321
Leatherface: Texas Chainsaw Massacre III,1990,0,5765562,0,11416916
Henry & June,1990,0,11567449,0,22905762
The Russia House,1990,0,22998000,0,45540439
Kindergarten Cop,1990,26000000,91457688,51484973,181103716
Wild at Heart,1990,9500000,14560247,18811817,28832074
Roger Corman's Frankenstein Unbound,1990,11500000,334748,22772200,662865
Back to the Future Part III,1990,40000000,87727583,79207651,173717395
3 Men and a Little Lady,1990,0,71609321,0,141800153
Life Is Sweet,1990,0,1516414,0,3002790
Rocky V,1990,42000000,40946358,83168034,81081621
Internal Affairs,1990,0,27734391,0,54919399
Quigley Down Under,1990,20000000,21413105,39603826,42402044
"�Ay, Carmela!",1990,0,299090,0,592255
Quick Change,1990,15000000,15260154,29702869,30218024
House Party,1990,2500000,26386000,4950478,52249327
"Welcome Home, Roxy Carmichael",1990,0,3989297,0,7899571
Young Guns II,1990,20000000,44143410,39603826,87412395
"I, the Worst of All",1990,0,52148,0,103263
A Cry in the Wild,1990,0,1494969,0,2960325
El pr�ncipe Cascanueces,1990,0,1781694,0,3528095
I Love You to Death,1990,0,16186793,0,32052946
The Rescuers Down Under,1990,30000000,27931461,59405738,55309635
Edward Scissorhands,1990,20000000,56362352,39603826,111608238
Reversal of Fortune,1990,0,15445131,0,30584314
White Palace,1990,0,17487531,0,34628656
Home Alone,1990,18000000,285761243,35643443,565861921
Journey of Hope,1990,0,261718,0,518252
Repossessed,1990,0,1382462,0,2737539
White Hunter Black Heart,1990,24000000,2319124,47524591,4592309
DuckTales the Movie: Treasure of the Lost Lamp,1990,0,18115724,0,35872599
The Return of Superfly,1990,0,610402,0,1208713
Rosencrantz & Guildenstern Are Dead,1990,0,739104,0,1463567
Bad Influence,1990,7000000,12626043,13861339,25001980
El vengador del futuro,1990,65000000,119394840,128712433,236424621
Joe Versus the Volcano,1990,25000000,39404261,49504782,78027974
El verdugo de Nueva York,1990,0,2554476,0,5058351
The Sheltering Sky,1990,25000000,2075084,49504782,4109063
Lambada,1990,0,4263112,0,8441777
Jetsons: The Movie,1990,0,10900000,0,21584085
Dreams,1990,12000000,1963207,23762295,3887525
The Shrimp on the Barbie,1990,0,458996,0,908900
Ju Dou,1990,0,1986433,0,3933517
Funny About Love,1990,0,8141292,0,16121315
Pretty Woman,1990,14000000,178406268,27722678,353278536
Q & A,1990,0,11207891,0,22193768
Mermaids,1990,31000000,35419397,61385930,70137181
Ultra Warrior,1990,0,410880,0,813621
Misery,1990,20000000,61276872,39603826,121339927
Mindwalk,1990,0,774048,0,1532763
Alice,1990,12000000,7331647,23762295,14518063
Miller's Crossing,1990,14000000,5080409,27722678,10060182
Miami Blues,1990,0,9888167,0,19580462
Goodfellas,1990,25000000,46836394,49504782,92745019
Metropolitan,1990,225000,2938208,445543,5818214
Nuns on the Run,1990,0,10959015,0,21700946
Men of Respect,1990,0,139155,0,275554
Flatliners,1990,26000000,61490000,51484973,121761962
Men at Work,1990,0,16247964,0,32174077
Men Don't Leave,1990,0,6070725,0,12021197
Memphis Belle,1990,23000000,27441977,45544399,54340363
Graffiti Bridge,1990,0,4562778,0,9035173
Air America,1990,35000000,31053601,69306695,61492070
Graveyard Shift,1990,10500000,11582891,20792008,22936340
Meet the Applegates,1990,5000000,485772,9900956,961921
Green Card,1990,0,29888235,0,59184422
Opportunity Knocks,1990,0,11359129,0,22493248
An Angel at My Table,1990,0,1054638,0,2088385
Mister Johnson,1990,0,1464242,0,2899479
Two Evil Eyes,1990,9000000,349618,17821721,692311
Ghost Dad,1990,0,24707633,0,48925839
My Mother's Castle,1990,0,1477071,0,2924883
Tremors,1990,11000000,16667084,21782104,33004014
Narrow Margin,1990,0,10873237,0,21531089
Navy Seals,1990,0,25069101,0,49641615
My Father's Glory,1990,0,1710856,0,3387822
My Blue Heaven,1990,0,23591472,0,46715627
Almost an Angel,1990,25000000,6939946,49504782,13742421
Gate 2: The Trespassers,1990,6500000,2032973,12871243,4025675
Truly Madly Deeply,1990,0,1554742,0,3078687
Mr. Destiny,1990,20000000,15379253,39603826,30453863
Night of the Living Dead,1990,4200000,5835247,8316803,11554905
Mr. & Mrs. Bridge,1990,0,7698010,0,15243532
Nightbreed,1990,11000000,8862354,21782104,17549156
Tune in Tomorrow...,1990,0,1794001,0,3552465
To Sleep with Anger,1990,0,1161135,0,2299269
Mountains of the Moon,1990,0,4011793,0,7944118
Frankenhooker,1990,2500000,205068,4950478,406074
Ghost,1990,22000000,217631306,43564208,430951614
Angel Town,1990,0,855810,0,1694667
Gremlins 2: The New Batch,1990,50000000,41482207,99009564,82142704
Lionheart,1990,3000000,24078196,5940574,47679434
Heart Condition,1990,0,4134992,0,8188075
Presumed Innocent,1990,22000000,86303188,43564208,170896820
Everybody Wins,1990,0,1372350,0,2717516
American Ninja 4: The Annihilation,1990,0,358047,0,709002
A Tale of Springtime,1990,0,201332,0,398676
Europa Europa,1990,0,5575738,0,11041028
Waiting for the Light,1990,0,808690,0,1601361
Auntie Danielle,1990,0,604624,0,1197271
Love & Murder,1990,0,10468,0,20729
Problem Child,1990,10000000,53470900,19801913,105882610
Avalon,1990,0,15740796,0,31169787
Flashback,1990,0,6488144,0,12847766
Lord of the Flies,1990,0,13985225,0,27693421
Loose Cannons,1990,15000000,5585154,29702869,11059673
Look Who's Talking Too,1990,0,47489074,0,94037450
A Show of Force,1990,0,152982,0,302934
A Shock to the System,1990,0,3417056,0,6766424
Pump Up the Volume,1990,0,11541758,0,22854889
Ernest Goes to Jail,1990,0,25029569,0,49563334
Awakenings,1990,0,52096475,0,103160985
Heaven and Earth,1990,42000000,307775,83168034,609453
Love at Large,1990,0,1436308,0,2844165
Predator 2,1990,35000000,30669413,69306695,60731304
Postcards from the Edge,1990,22000000,37963281,43564208,75174558
May Fools,1990,0,1576702,0,3122172
"After Dark, My Sweet",1990,0,2678414,0,5303772
Another 48 Hrs.,1990,38000000,80818974,75247269,160037027
Pacific Heights,1990,18000000,29381956,35643443,58181893
Fire Birds,1990,22000000,14760451,43564208,29228516
Marked for Death,1990,12000000,46044400,23762295,91176719
The Witches,1990,0,10360553,0,20515877
Happily Ever After,1990,0,3299382,0,6533407
Madhouse,1990,0,21036771,0,41656830
Arachnophobia,1990,31000000,53208180,61385930,105362374
Hard to Kill,1990,10000000,47410000,19801913,93880868
Hardware,1990,1500000,5728953,2970287,11344423
Vincent & Theo,1990,0,2231274,0,4418349
Vital Signs,1990,0,1224605,0,2424952
The Two Jakes,1990,19000000,10005969,37623634,19813733
Havana,1990,40000000,9243140,79207651,18303185
The Field,1990,0,1414017,0,2800024
Downtown,1990,10000000,2346150,19801913,4645826
Mo' Better Blues,1990,10000000,16153600,19801913,31987218
Death Warrant,1990,4000000,16853487,7920765,33373128
The First Power,1990,10000000,22424195,19801913,44404195
The NeverEnding Story II: The Next Chapter,1990,36000000,17373527,71286886,34402907
Cry-Baby,1990,11000000,8266343,21782104,16368940
Days of Thunder,1990,60000000,82670733,118811477,163703864
The Last of the Finest,1990,0,1531489,0,3032641
Stanley & Iris,1990,23000000,5820015,45544399,11524743
Child's Play 2,1990,13000000,28501605,25742487,56438630
The Nasty Girl,1990,0,2281569,0,4517943
The Comfort of Strangers,1990,0,1244381,0,2464112
Short Time,1990,0,4010647,0,7941848
Crossing the Line,1990,0,59227,0,117281
The Freshman,1990,0,21460601,0,42496095
The Godfather: Part III,1990,54000000,66666062,106930329,132011554
The Boyfriend School,1990,0,1171762,0,2320313
Texasville,1990,0,2268181,0,4491432
Body Chemistry,1990,0,2415312,0,4782780
The Grifters,1990,0,13446769,0,26627175
Slumber Party Massacre III,1990,350000,1242995,693067,2461368
The Hot Spot,1990,0,1293976,0,2562320
Delta Force 2: The Colombian Connection,1990,0,6698361,0,13264036
Def by Temptation,1990,0,2218579,0,4393211
Daddy's Dyin'... Who's Got the Will?,1990,0,1373728,0,2720244
Ski Patrol,1990,0,8533973,0,16898899
Dances with Wolves,1990,22000000,184208848,43564208,364768754
Come See the Paradise,1990,0,847306,0,1677828
The Bonfire of the Vanities,1990,47000000,15691192,93068990,31071562
The Long Walk Home,1990,0,4803039,0,9510936
The Adventures of Ford Fairlane,1990,40000000,21413502,79207651,42402830
Book of Love,1990,0,1382259,0,2737137
Side Out,1990,0,449868,0,890825
The Hunt for Red October,1990,30000000,122012643,59405738,241608371
Bird on a Wire,1990,20000000,70980000,39603826,140553977
Cyrano de Bergerac,1990,0,15140007,0,29980110
Sibling Rivalry,1990,0,17854930,0,35356177
Streets,1990,0,1510053,0,2990194
Dick Tracy,1990,47000000,103738726,93068990,205422520
The Hairdresser's Husband,1990,0,1155800,0,2288705
Strike It Rich,1990,0,541626,0,1072523
Die Hard 2,1990,70000000,117540947,138613389,232753558
Darkman,1990,16000000,33878502,31683060,67085914
State of Grace,1990,0,1911542,0,3785219
The Fourth War,1990,0,1305887,0,2585906
Desperate Hours,1990,18000000,2742912,35643443,5431490
China Cry: A True Story,1990,0,4212828,0,8342205
The Misadventures of Mr. Wilt,1990,0,113014,0,223789
Cadillac Man,1990,0,27627310,0,54707358
The End of Innocence,1990,0,115983,0,229669
Taking Care of Business,1990,0,20005435,0,39614588
Crazy People,1990,0,13236513,0,26210828
Chicago Joe and the Showgirl,1990,0,85395,0,169098
Brain Dead,1990,2000000,1627955,3960383,3223662
Coupe de Ville,1990,0,715983,0,1417783
Tales from the Darkside: The Movie,1990,3500000,16324573,6930669,32325777
The Haunting of Morella,1990,0,1547867,0,3065073
Soultaker,1990,242000,233150,479206,461682
The Exorcist III,1990,0,26098824,0,51680664
The Forbidden Dance,1990,0,1823154,0,3610194
Courage Mountain,1990,0,1393610,0,2759614
Cadence,1990,0,2070871,0,4100721
Spaced Invaders,1990,3000000,15369573,5940574,30434694
Class of 1999,1990,5200000,2459895,10296995,4871063
Betsy's Wedding,1990,0,19740070,0,39089114
The Krays,1990,0,2060847,0,4080871
Harlem Nights,1989,30000000,60864870,62615565,127036273
Stepfather II,1989,1500000,1519796,3130778,3172096
A Dry White Season,1989,0,3766879,0,7862175
Staying Together,1989,0,4348025,0,9075135
Fletch Lives,1989,8000000,35150960,16697484,73366573
Jesus of Montreal,1989,0,1601612,0,3342861
K-9,1989,17000000,43247647,35482153,90265861
Steel Magnolias,1989,0,83759091,0,174820759
The Fly II,1989,0,20021322,0,41788213
The Big Picture,1989,5000000,117463,10435927,245167
Three Fugitives,1989,15000000,40590000,31307782,84718859
Police Academy 6: City Under Siege,1989,12000000,11567217,25046226,24142927
Longtime Companion,1989,3000000,4609953,6261556,9621827
Dark Obsession,1989,0,333811,0,696725
Bye Bye Blues,1989,0,161323,0,336711
The Unbelievable Truth,1989,75000,546541,156539,1140732
84C MoPic,1989,0,154264,0,321978
Old Gringo,1989,34000000,3574256,70964306,7460135
Chattahoochee,1989,0,259486,0,541595
Worth Winning,1989,0,3690400,0,7702549
Parents,1989,3000000,870532,6261556,1816962
Beverly Hills Brats,1989,0,192561,0,401911
"Honey, I Shrunk the Kids",1989,18000000,130724172,37569339,272845594
Dead Poets Society,1989,16400000,95860116,34229842,200077843
Field of Dreams,1989,0,64431625,0,134480752
Lost Angels,1989,0,1247946,0,2604695
The Wizard,1989,6000000,14278900,12523113,29802713
Fat Man and Little Boy,1989,0,3563162,0,7436980
Dead Bang,1989,0,8125592,0,16959618
Cheetah,1989,5000000,8153677,10435927,17018236
Major League,1989,11000000,49797148,22959040,103935884
Loverboy,1989,0,3960327,0,8265937
Cannonball Fever,1989,0,3077361,0,6423023
Heart of Dixie,1989,0,1097333,0,2290338
Fast Food,1989,0,472340,0,985861
Farewell to the King,1989,20000000,2420917,41743710,5052903
Who's Harry Crumb?,1989,0,10982364,0,22922231
Look Who's Talking,1989,7500000,140088813,15653891,292391337
Johnny Handsome,1989,20000000,7237794,41743710,15106619
The War of the Roses,1989,0,86888546,0,181352512
Fist Fighter,1989,0,221163,0,461608
Pet Sematary,1989,11500000,57469179,24002633,119948836
Born on the Fourth of July,1989,14000000,70001698,29220597,146106528
Physical Evidence,1989,17000000,3560932,35482153,7432326
Family Business,1989,0,12195695,0,25454678
Pink Cadillac,1989,19000000,12143484,39656524,25345704
The Dream Team,1989,15000000,28890240,31307782,60299290
The Horror Show,1989,3000000,1738897,6261556,3629401
Star Trek V: The Final Frontier,1989,27800000,52210049,58023756,108972056
"I, Madman",1989,0,151203,0,315589
Casualties of War,1989,22500000,18671317,46961673,38970502
An Innocent Man,1989,0,20047604,0,41843068
Troop Beverly Hills,1989,18000000,8508843,37569339,17759534
Ghostbusters II,1989,37000000,112494738,77225863,234797384
Terror a bordo,1989,0,7825009,0,16332245
All Dogs Go to Heaven,1989,13800000,27100027,28803160,56562783
Cookie,1989,0,1869417,0,3901820
Mortal Passions,1989,0,197343,0,411891
After Midnight,1989,3000000,76325,6261556,159304
Turner & Hooch,1989,0,71079915,0,148356967
Blind Fury,1989,10000000,2692037,20871855,5618781
Getting It Right,1989,0,960385,0,2004502
Gross Anatomy,1989,0,11604598,0,24220948
Blaze,1989,0,19131246,0,39930459
A Chorus of Disapproval,1989,0,216373,0,451611
How I Got Into College,1989,0,1642239,0,3427657
Winter People,1989,0,2023282,0,4222965
Music Box,1989,0,6263883,0,13073886
Sweetie,1989,0,938065,0,1957916
True Believer,1989,0,8742750,0,18247741
Monsieur Hire,1989,0,1417030,0,2957604
The Karate Kid Part III,1989,0,38956288,0,81308999
Kinjite: Forbidden Subjects,1989,0,3416846,0,7131591
Bloodhounds of Broadway,1989,4000000,43671,8348742,91149
Chameleon Street,1989,0,235011,0,490512
Tap,1989,0,9114702,0,19024074
Tango & Cash,1989,55000000,63408614,114795202,132345539
Cousins,1989,13000000,22030000,27133411,45980696
Uncle Buck,1989,15000000,66758538,31307782,139337451
Crack House,1989,0,862551,0,1800304
Blue Steel,1989,0,8220000,0,17156665
Miss Firecracker,1989,0,646890,0,1350179
Gleaming the Cube,1989,10000000,2777280,20871855,5796699
The January Man,1989,0,4611062,0,9624142
UHF,1989,5000000,6157157,10435927,12851129
Glory,1989,18000000,26830000,37569339,55999187
Teen Witch,1989,0,27843,0,58114
Great Balls of Fire!,1989,0,13741060,0,28680141
Bloodfist,1989,0,1770082,0,3694489
Crimes and Misdemeanors,1989,19000000,18254702,39656524,38100949
Wild Orchid,1989,0,11060485,0,23085284
Always,1989,31000000,43858790,64702750,91541430
Bill & Ted's Excellent Adventure,1989,10000000,40485039,20871855,84499786
Wired,1989,0,1089000,0,2272945
Torrents of Spring,1989,0,111747,0,233237
New York Stories,1989,15000000,10763469,31307782,22465356
Too Beautiful for You,1989,0,1776440,0,3707760
Next of Kin,1989,12000000,15942628,25046226,33275222
The Lemon Sisters,1989,0,3473905,0,7250684
Night Game,1989,0,337812,0,705076
Night Visitor,1989,0,166635,0,347798
Kickboxer,1989,1500000,14697005,3130778,30675375
Communion,1989,5000000,1919653,10435927,4006672
Powwow Highway,1989,0,283747,0,592233
Dad,1989,19000000,19738015,39656524,41196898
No Holds Barred,1989,8000000,16093651,16697484,33590435
Wicked Stepmother,1989,2500000,43749,5217964,91312
The Little Mermaid,1989,40000000,111543479,83487419,232811930
"The Cook, the Thief, His Wife & Her Lover",1989,0,7724701,0,16122884
Tie Me Up! Tie Me Down!,1989,0,4087361,0,8531081
Friday the 13th Part VIII: Jason Takes Manhattan,1989,5000000,14343976,10435927,29938538
Cyborg,1989,500000,10166459,1043593,21219286
Halloween 5,1989,3000000,11642254,6261556,24299544
American Ninja 3: Blood Hunt,1989,0,902152,0,1882959
Triumph of the Spirit,1989,0,408839,0,853323
Martians Go Home,1989,0,129778,0,270871
My Left Foot,1989,0,14743391,0,30772192
Chances Are,1989,16000000,16278590,33394968,33976437
The 'Burbs,1989,0,36602000,0,76395163
Black Rain,1989,30000000,46212055,62615565,96453130
The Abyss,1989,70000000,54461047,146102984,113670307
Mystery Train,1989,2800000,367879,5844119,767832
The Gods Must Be Crazy II,1989,0,6291444,0,13131411
How to Get Ahead in Advertising,1989,0,418053,0,872554
Cruising Bar,1989,0,3400000,0,7096431
National Lampoon's Christmas Vacation,1989,27000000,71320000,56354008,148858069
Valmont relaciones peligrosas,1989,33000000,1132112,68877121,2362928
Kill Me Again,1989,4000000,283694,8348742,592122
Strapless,1989,0,764794,0,1596267
Parenthood,1989,31000000,100047830,64702750,208818378
Prancer,1989,0,18587135,0,38794798
Weekend at Bernie's,1989,0,30218387,0,63071379
"Bert Rigby, You're a Fool",1989,0,75868,0,158351
Do the Right Thing,1989,6500000,27545445,13566706,57492453
Let It Ride,1989,18000000,4973285,37569339,10380168
Skin Deep,1989,0,19674852,0,41065065
When Harry Met Sally...,1989,16000000,92823600,33394968,193740070
Rude Awakening,1989,0,3169719,0,6615791
Batman,1989,35000000,251188924,73051492,524277876
Drugstore Cowboy,1989,2500000,4729352,5217964,9871035
Shirley Valentine,1989,0,6353913,0,13261795
Eddie and the Cruisers II: Eddie Lives!,1989,0,536508,0,1119792
Edge of Sanity,1989,0,102219,0,213350
Welcome Home,1989,0,1029822,0,2149430
Shocker,1989,5000000,16554699,10435927,34552727
The Package,1989,18000000,10647219,37569339,22222721
We're No Angels,1989,20000000,10555348,41743710,22030969
See You in the Morning,1989,0,4795000,0,10008054
Driving Miss Daisy,1989,7500000,106593296,15653891,222479980
In Country,1989,18000000,3531971,37569339,7371879
Lisa,1989,0,4347648,0,9074348
Jacknife,1989,0,2049769,0,4278248
River of Death,1989,0,535031,0,1116709
The Tall Guy,1989,0,510712,0,1065951
Best of the Best,1989,5000000,1700000,10435927,3548215
Enemies: A Love Story,1989,0,7754571,0,16185228
Robot Jox,1989,10000000,1272977,20871855,2656939
Slaves of New York,1989,0,463972,0,968396
The Fabulous Baker Boys,1989,13000000,16823529,27133411,35113826
Immediate Family,1989,14000000,5932613,29220597,12382464
Queen of Hearts,1989,0,1236844,0,2581523
Henry V,1989,9000000,10161099,18784669,21208098
Erik the Viking,1989,0,1932642,0,4033782
Shag,1989,5000000,6957975,10435927,14522584
Cage,1989,0,618178,0,1290252
Romero,1989,0,1316495,0,2747769
Rooftops,1989,0,2043889,0,4265975
"Sex, Lies, and Videotape",1989,1200000,24741700,2504623,51640517
Rosalie Goes Shopping,1989,0,574080,0,1198211
She's Out of Control,1989,0,12065892,0,25183755
She-Devil,1989,0,15351421,0,32041263
Disorganized Crime,1989,0,7723506,0,16120390
Road House,1989,17000000,30050028,35482153,62719982
Lean on Me,1989,10000000,31906454,20871855,66594688
Back to the Future Part II,1989,40000000,118500000,83487419,247331480
The Return of Swamp Thing,1989,4000000,192816,8348742,402443
DeepStar Six,1989,8000000,8143225,16697484,16996421
The Experts,1989,0,169203,0,353158
Breaking In,1989,6000000,1877618,12523113,3918937
The Rachel Papers,1989,0,201468,0,420501
Little Nemo: Adventures in Slumberland,1989,35000000,1368210,73051492,2855708
Her Alibi,1989,0,18699037,0,39028359
Signs of Life,1989,0,95836,0,200028
Brenda Starr,1989,16000000,67878,33394968,141674
Renegades,1989,0,9015164,0,18816319
A Nightmare on Elm Street 5: The Dream Child,1989,6000000,22168359,12523113,46269477
The Mighty Quinn,1989,0,4557214,0,9511751
Last Exit to Brooklyn,1989,0,1730005,0,3610841
Warlock,1989,7000000,9094451,14610298,18981806
Relentless,1989,0,6985999,0,14581076
Scenes from the Class Struggle in Beverly Hills,1989,0,2156471,0,4500955
The Toxic Avenger Part II,1989,2300000,792966,4800527,1655067
The Toxic Avenger Part III: The Last Temptation of Toxie,1989,0,363561,0,758819
Licence to Kill,1989,32000000,34667015,66789935,72356490
Say Anything...,1989,0,20781385,0,43374605
Lock Up,1989,24000000,22099847,50092452,46126480
Little Monsters,1989,0,793775,0,1656756
The Blood of Heroes,1989,0,882290,0,1841503
Sea of Love,1989,19000000,58571513,39656524,122249612
Dream a Little Dream,1989,0,5552441,0,11588974
"See No Evil, Hear No Evil",1989,18000000,46908987,37569339,97907757
Hell High,1989,0,187920,0,392224
Lethal Weapon 2,1989,28000000,147253986,58441194,307346382
Indiana Jones and the Last Crusade,1989,48000000,197171806,100184903,411534131
Listen to Me,1989,0,4299023,0,8972858
Life and Nothing But,1989,0,428758,0,894897
The Terror Within,1989,0,858591,0,1792039
Second Sight,1989,0,5368865,0,11205817
The Rainbow,1989,0,444055,0,926825
Night of the Demons,1988,1200000,3109904,2625302,6803697
My Stepmother Is an Alien,1988,20000000,13854000,43755030,30309109
Sunset,1988,19000000,4594452,41567278,10051519
Funny Farm,1988,19000000,25537221,41567278,55869093
Iron Eagle II,1988,0,10497324,0,22965536
Vampire's Kiss,1988,2000000,725131,4375503,1586406
Short Circuit 2,1988,0,21630088,0,47321257
Shoot to Kill,1988,0,29300090,0,64101315
She's Having a Baby,1988,0,16031707,0,35073391
The Chocolate War,1988,0,303624,0,664254
Hero and the Terror,1988,0,5301200,0,11597708
Earth Girls Are Easy,1988,10000000,3916303,21877515,8567898
Action Jackson,1988,7000000,20257000,15314260,44317282
Crossing Delancey,1988,4000000,16262415,8751006,35578122
Return to Snowy River,1988,0,13687027,0,29943814
Fright Night Part 2,1988,7500000,2983784,16408136,6527778
Halloween 4: The Return of Michael Myers,1988,5000000,17768757,10938757,38873624
The Last Temptation of Christ,1988,7000000,7630564,15314260,16693778
Torch Song Trilogy,1988,0,4865997,0,10645592
Friday the 13th Part VII: The New Blood,1988,2800000,19170001,6125704,41939198
Without a Clue,1988,0,8539181,0,18681606
Return of the Living Dead II,1988,6200000,9205924,13564059,20140274
Fresh Horses,1988,14000000,6640346,30628521,14527427
Mystic Pizza,1988,6000000,12793213,13126509,27988371
Above the Law,1988,7500000,18869631,16408136,41282063
Track 29,1988,5000000,429028,10938757,938607
El Hotel de los Fantasmas,1988,17000000,8578231,37191775,18767038
The Accidental Tourist,1988,0,32632093,0,71390910
Maniac Cop,1988,1100000,671382,2406527,1468817
Lady in White,1988,4700000,1705139,10282432,3730420
Die Hard,1988,28000000,83008852,61257041,181602739
The Boost,1988,8000000,784990,17502012,1717363
Eight Men Out,1988,6000000,5680515,13126509,12427555
Bat*21,1988,0,3966256,0,8677182
Beetlejuice,1988,15000000,73707461,32816272,161253607
Salsa,1988,0,8892589,0,19454775
Tequila Sunrise,1988,23000000,41292551,50318284,90337840
Running on Empty,1988,3000000,2835116,6563254,6202529
Taffin,1988,0,159969,0,349972
Cop,1988,3000000,1884315,6563254,4122413
Willow,1988,35000000,57269863,76571302,125292227
Two Moon Junction,1988,0,1547397,0,3385320
Last Rites,1988,0,426965,0,934093
Alien Nation,1988,16000000,25216243,35004024,55166873
Mississippi Burning,1988,15000000,34603943,32816272,75704827
Las travesuras de una pelirojja,1988,5000000,3569939,10938757,7810139
Miracle Mile,1988,3700000,1145404,8094680,2505859
Salome's Last Dance,1988,0,331469,0,725172
Miles from Home,1988,0,188964,0,413406
The Dead Pool,1988,31000000,37903295,67820296,82922990
Scrooged,1988,32000000,60328558,70008047,131983892
Midnight Run,1988,30000000,38413606,65632544,84039423
Bloodsport,1988,1100000,11806119,2406527,25828854
Beaches,1988,0,57041866,0,124793427
Gorillas in the Mist,1988,22000000,24720479,48130533,54082265
Al borde del terror,1988,0,940173,0,2056865
Akira,1988,0,553171,0,1210201
Talk Radio,1988,4000000,3468572,8751006,7588374
Messenger of Death,1988,0,3074681,0,6726638
Bull Durham,1988,7000000,50888729,15314260,111331892
The Presidio,1988,0,20036242,0,43834318
School Daze,1988,6500000,14545844,14220385,31822692
A Handful of Dust,1988,0,1560700,0,3414424
Caddyshack II,1988,20000000,11798302,43755030,25811753
Criminal Law,1988,0,9974446,0,21821609
Twins,1988,15000000,111936400,32816272,244889025
A Cry in the Dark,1988,15000000,6908797,32816272,15114731
Switching Channels,1988,18000000,9129999,39379527,19974169
Dirty Rotten Scoundrels,1988,0,42039085,0,91971070
Married to the Mob,1988,10000000,21486757,21877515,47007684
Rocket Gibraltar,1988,0,187349,0,409873
Cinema Paradiso,1988,5000000,11990401,10938757,26232018
Masquerade,1988,0,15855828,0,34688611
Sweet Hearts Dance,1988,0,3790493,0,8292657
Shakedown,1988,6000000,10068039,13126509,22026367
Killer Klowns from Outer Space,1988,2000000,15625095,4375503,34183825
Gandahar,1988,0,370698,0,810995
The Land Before Time,1988,12500000,48092846,27346893,105215195
License to Drive,1988,8000000,22433275,17502012,49078431
Crocodile Dundee II,1988,14000000,109305000,30628521,239132175
The Lair of the White Worm,1988,2500000,1189315,5469379,2601926
Mr. North,1988,0,1221366,0,2672045
Monkey Shines,1988,7000000,5344577,15314260,11692606
